Title,"Academic staff (excluding atypical) by age group, disability status, ethnicity, nationality, sex, contract level and country of HE provider",,,,
Ethnicity,Asian,England,Total,2018/19,17655
Ethnicity,Asian,Northern Ireland,Professor,2018/19,20
Ethnicity,Asian,Northern Ireland,Other senior academic,2018/19,0
Ethnicity,Asian,Northern Ireland,Other contract level,2018/19,240
Ethnicity,Asian,Northern Ireland,Total,2018/19,260
Ethnicity,Asian,Scotland,Professor,2018/19,105
Ethnicity,Asian,Scotland,Other senior academic,2018/19,15
Ethnicity,Asian,Scotland,Other contract level,2018/19,1610
Ethnicity,Asian,Scotland,Total,2018/19,1730
Ethnicity,Asian,Wales,Professor,2018/19,60
Ethnicity,Asian,Wales,Other senior academic,2018/19,5
Ethnicity,Asian,Wales,Other contract level,2018/19,625
Ethnicity,Asian,Wales,Total,2018/19,695
Ethnicity,Asian,England,Professor,2019/20,1300
Ethnicity,Asian,England,Other senior academic,2019/20,255
Ethnicity,Asian,England,Other contract level,2019/20,17525
Ethnicity,Asian,England,Total,2019/20,19080
Ethnicity,Asian,Northern Ireland,Professor,2019/20,20
Ethnicity,Asian,Northern Ireland,Other senior academic,2019/20,0
Ethnicity,Asian,Northern Ireland,Other contract level,2019/20,265
Ethnicity,Asian,Northern Ireland,Total,2019/20,285
Ethnicity,Asian,Scotland,Professor,2019/20,115
Ethnicity,Asian,Scotland,Other senior academic,2019/20,15
Ethnicity,Asian,Scotland,Other contract level,2019/20,1830
Ethnicity,Asian,Scotland,Total,2019/20,1955
Ethnicity,Asian,Wales,Professor,2019/20,60
Ethnicity,Asian,Wales,Other senior academic,2019/20,10
Ethnicity,Asian,Wales,Other contract level,2019/20,665
Ethnicity,Asian,Wales,Total,2019/20,730
Ethnicity,Asian,England,Professor,2020/21,1375
Ethnicity,Asian,England,Other senior academic,2020/21,270
Ethnicity,Asian,England,Other contract level,2020/21,18180
Ethnicity,Asian,England,Total,2020/21,19825
Ethnicity,Asian,Northern Ireland,Professor,2020/21,25
Ethnicity,Asian,Northern Ireland,Other senior academic,2020/21,5
Ethnicity,Asian,Northern Ireland,Other contract level,2020/21,270
Ethnicity,Asian,Northern Ireland,Total,2020/21,295
Ethnicity,Asian,Scotland,Professor,2020/21,125
Ethnicity,Asian,Scotland,Other senior academic,2020/21,20
Ethnicity,Asian,Scotland,Other contract level,2020/21,1995
Ethnicity,Asian,Scotland,Total,2020/21,2140
Ethnicity,Asian,Wales,Professor,2020/21,55
Ethnicity,Asian,Wales,Other senior academic,2020/21,10
Ethnicity,Asian,Wales,Other contract level,2020/21,695
Ethnicity,Asian,Wales,Total,2020/21,760
Ethnicity,Asian,All,Professor,2016/17,1200
Ethnicity,Asian,All,Other senior academic,2016/17,220
Ethnicity,Asian,All,Other contract level,2016/17,16175
Ethnicity,Asian,All,Total,2016/17,17595
Ethnicity,Asian,All,Professor,2017/18,1270
Ethnicity,Asian,All,Other senior academic,2017/18,235
Ethnicity,Asian,All,Other contract level,2017/18,17475
Ethnicity,Asian,All,Total,2017/18,18980
Ethnicity,Asian,All,Professor,2018/19,1360
Ethnicity,Asian,All,Other senior academic,2018/19,255
Ethnicity,Asian,All,Other contract level,2018/19,18730
Ethnicity,Asian,All,Total,2018/19,20340
Ethnicity,Asian,All,Professor,2019/20,1495
Ethnicity,Asian,All,Other senior academic,2019/20,280
Ethnicity,Asian,All,Other contract level,2019/20,20285
Ethnicity,Asian,All,Total,2019/20,22055
Ethnicity,Asian,All,Professor,2020/21,1580
Ethnicity,Asian,All,Other senior academic,2020/21,300
Ethnicity,Asian,All,Other contract level,2020/21,21140
Ethnicity,Asian,All,Total,2020/21,23020
Ethnicity,Mixed,England,Professor,2016/17,180
Ethnicity,Mixed,England,Other senior academic,2016/17,55
Ethnicity,Mixed,England,Other contract level,2016/17,3080
Ethnicity,Mixed,England,Total,2016/17,3315
Ethnicity,Mixed,Northern Ireland,Professor,2016/17,0
Ethnicity,Mixed,Northern Ireland,Other senior academic,2016/17,0
Ethnicity,Mixed,Northern Ireland,Other contract level,2016/17,20
Ethnicity,Mixed,Northern Ireland,Total,2016/17,20
Ethnicity,Mixed,Scotland,Professor,2016/17,20
Ethnicity,Mixed,Scotland,Other senior academic,2016/17,5
Ethnicity,Mixed,Scotland,Other contract level,2016/17,235
Ethnicity,Mixed,Scotland,Total,2016/17,255
Ethnicity,Mixed,Wales,Professor,2016/17,10
Ethnicity,Mixed,Wales,Other senior academic,2016/17,5
Ethnicity,Mixed,Wales,Other contract level,2016/17,85
Ethnicity,Mixed,Wales,Total,2016/17,100
Ethnicity,Mixed,England,Professor,2017/18,205
Ethnicity,Mixed,England,Other senior academic,2017/18,55
Ethnicity,Mixed,England,Other contract level,2017/18,3385
Ethnicity,Mixed,England,Total,2017/18,3645
Ethnicity,Mixed,Northern Ireland,Professor,2017/18,0
Ethnicity,Mixed,Northern Ireland,Other senior academic,2017/18,0
Ethnicity,Mixed,Northern Ireland,Other contract level,2017/18,25
Ethnicity,Mixed,Northern Ireland,Total,2017/18,25
Ethnicity,Mixed,Scotland,Professor,2017/18,25
Ethnicity,Mixed,Scotland,Other senior academic,2017/18,0
Ethnicity,Mixed,Scotland,Other contract level,2017/18,310
Ethnicity,Mixed,Scotland,Total,2017/18,335
Ethnicity,Mixed,Wales,Professor,2017/18,5
Ethnicity,Mixed,Wales,Other senior academic,2017/18,5
Ethnicity,Mixed,Wales,Other contract level,2017/18,90
Ethnicity,Mixed,Wales,Total,2017/18,100
Ethnicity,Mixed,England,Professor,2018/19,220
Ethnicity,Mixed,England,Other senior academic,2018/19,60
Ethnicity,Mixed,England,Other contract level,2018/19,3665
Ethnicity,Mixed,England,Total,2018/19,3945
Ethnicity,Mixed,Northern Ireland,Professor,2018/19,0
Ethnicity,Mixed,Northern Ireland,Other senior academic,2018/19,0
Ethnicity,Mixed,Northern Ireland,Other contract level,2018/19,30
Ethnicity,Mixed,Northern Ireland,Total,2018/19,30
Ethnicity,Mixed,Scotland,Professor,2018/19,25
Ethnicity,Mixed,Scotland,Other senior academic,2018/19,0
Ethnicity,Mixed,Scotland,Other contract level,2018/19,365
Ethnicity,Mixed,Scotland,Total,2018/19,395
Ethnicity,Mixed,Wales,Professor,2018/19,10
Ethnicity,Mixed,Wales,Other senior academic,2018/19,5
Ethnicity,Mixed,Wales,Other contract level,2018/19,110
Ethnicity,Mixed,Wales,Total,2018/19,120
Ethnicity,Mixed,England,Professor,2019/20,250
Ethnicity,Mixed,England,Other senior academic,2019/20,70
Ethnicity,Mixed,England,Other contract level,2019/20,4115
Ethnicity,Mixed,England,Total,2019/20,4435
Ethnicity,Mixed,Northern Ireland,Professor,2019/20,5
Ethnicity,Mixed,Northern Ireland,Other senior academic,2019/20,0
Ethnicity,Mixed,Northern Ireland,Other contract level,2019/20,30
Ethnicity,Mixed,Northern Ireland,Total,2019/20,35
Ethnicity,Mixed,Scotland,Professor,2019/20,30
Ethnicity,Mixed,Scotland,Other senior academic,2019/20,0
Ethnicity,Mixed,Scotland,Other contract level,2019/20,405
Ethnicity,Mixed,Scotland,Total,2019/20,435
Ethnicity,Mixed,Wales,Professor,2019/20,10
Ethnicity,Mixed,Wales,Other senior academic,2019/20,0
Ethnicity,Mixed,Wales,Other contract level,2019/20,130
Ethnicity,Mixed,Wales,Total,2019/20,140
Ethnicity,Mixed,England,Professor,2020/21,280
Ethnicity,Mixed,England,Other senior academic,2020/21,70
Ethnicity,Mixed,England,Other contract level,2020/21,4385
Ethnicity,Mixed,England,Total,2020/21,4735
Ethnicity,Mixed,Northern Ireland,Professor,2020/21,5
Ethnicity,Mixed,Northern Ireland,Other senior academic,2020/21,0
Ethnicity,Mixed,Northern Ireland,Other contract level,2020/21,25
Ethnicity,Mixed,Northern Ireland,Total,2020/21,30
Ethnicity,Mixed,Scotland,Professor,2020/21,40
Ethnicity,Mixed,Scotland,Other senior academic,2020/21,0
Ethnicity,Mixed,Scotland,Other contract level,2020/21,450
Ethnicity,Mixed,Scotland,Total,2020/21,490
Ethnicity,Mixed,Wales,Professor,2020/21,10
Ethnicity,Mixed,Wales,Other senior academic,2020/21,0
Ethnicity,Mixed,Wales,Other contract level,2020/21,145
Ethnicity,Mixed,Wales,Total,2020/21,155
Ethnicity,Mixed,All,Professor,2016/17,205
Ethnicity,Mixed,All,Other senior academic,2016/17,65
Ethnicity,Mixed,All,Other contract level,2016/17,3420
Ethnicity,Mixed,All,Total,2016/17,3690
Ethnicity,Mixed,All,Professor,2017/18,235
Ethnicity,Mixed,All,Other senior academic,2017/18,60
Ethnicity,Mixed,All,Other contract level,2017/18,3805
Ethnicity,Mixed,All,Total,2017/18,4100
Ethnicity,Mixed,All,Professor,2018/19,255
Ethnicity,Mixed,All,Other senior academic,2018/19,65
Ethnicity,Mixed,All,Other contract level,2018/19,4165
Ethnicity,Mixed,All,Total,2018/19,4485
Ethnicity,Mixed,All,Professor,2019/20,295
Ethnicity,Mixed,All,Other senior academic,2019/20,70
Ethnicity,Mixed,All,Other contract level,2019/20,4675
Ethnicity,Mixed,All,Total,2019/20,5045
Ethnicity,Mixed,All,Professor,2020/21,335
Ethnicity,Mixed,All,Other senior academic,2020/21,75
Ethnicity,Mixed,All,Other contract level,2020/21,5005
Ethnicity,Mixed,All,Total,2020/21,5410
Ethnicity,Other,England,Professor,2016/17,230
Ethnicity,Other,England,Other senior academic,2016/17,50
Ethnicity,Other,England,Other contract level,2016/17,2870
Ethnicity,Other,England,Total,2016/17,3150
Ethnicity,Other,Northern Ireland,Professor,2016/17,0
Ethnicity,Other,Northern Ireland,Other senior academic,2016/17,0
Ethnicity,Other,Northern Ireland,Other contract level,2016/17,15
Ethnicity,Other,Northern Ireland,Total,2016/17,15
Ethnicity,Other,Scotland,Professor,2016/17,25
Ethnicity,Other,Scotland,Other senior academic,2016/17,5
Ethnicity,Other,Scotland,Other contract level,2016/17,380
Ethnicity,Other,Scotland,Total,2016/17,410
Ethnicity,Other,Wales,Professor,2016/17,45
Ethnicity,Other,Wales,Other senior academic,2016/17,5
Ethnicity,Other,Wales,Other contract level,2016/17,230
Ethnicity,Other,Wales,Total,2016/17,280
Ethnicity,Other,England,Professor,2017/18,240
Ethnicity,Other,England,Other senior academic,2017/18,65
Ethnicity,Other,England,Other contract level,2017/18,3070
Ethnicity,Other,England,Total,2017/18,3370
Ethnicity,Other,Northern Ireland,Professor,2017/18,5
Ethnicity,Other,Northern Ireland,Other senior academic,2017/18,0
Ethnicity,Other,Northern Ireland,Other contract level,2017/18,15
Ethnicity,Other,Northern Ireland,Total,2017/18,20
Ethnicity,Other,Scotland,Professor,2017/18,20
Ethnicity,Other,Scotland,Other senior academic,2017/18,5
Ethnicity,Other,Scotland,Other contract level,2017/18,485
Ethnicity,Other,Scotland,Total,2017/18,510
Ethnicity,Other,Wales,Professor,2017/18,45
Ethnicity,Other,Wales,Other senior academic,2017/18,5
Ethnicity,Other,Wales,Other contract level,2017/18,215
Ethnicity,Other,Wales,Total,2017/18,265
Ethnicity,Other,England,Professor,2018/19,260
Ethnicity,Other,England,Other senior academic,2018/19,60
Ethnicity,Other,England,Other contract level,2018/19,3390
Ethnicity,Other,England,Total,2018/19,3710
Ethnicity,Other,Northern Ireland,Professor,2018/19,5
Ethnicity,Other,Northern Ireland,Other senior academic,2018/19,0
Ethnicity,Other,Northern Ireland,Other contract level,2018/19,15
Ethnicity,Other,Northern Ireland,Total,2018/19,20
Ethnicity,Other,Scotland,Professor,2018/19,25
Ethnicity,Other,Scotland,Other senior academic,2018/19,5
Ethnicity,Other,Scotland,Other contract level,2018/19,505
Ethnicity,Other,Scotland,Total,2018/19,535
Ethnicity,Other,Wales,Professor,2018/19,35
Ethnicity,Other,Wales,Other senior academic,2018/19,5
Ethnicity,Other,Wales,Other contract level,2018/19,210
Ethnicity,Other,Wales,Total,2018/19,250
Ethnicity,Other,England,Professor,2019/20,275
Ethnicity,Other,England,Other senior academic,2019/20,65
Ethnicity,Other,England,Other contract level,2019/20,3725
Ethnicity,Other,England,Total,2019/20,4065
Ethnicity,Other,Northern Ireland,Professor,2019/20,5
Ethnicity,Other,Northern Ireland,Other senior academic,2019/20,0
Ethnicity,Other,Northern Ireland,Other contract level,2019/20,25
Ethnicity,Other,Northern Ireland,Total,2019/20,30
Ethnicity,Other,Scotland,Professor,2019/20,30
Ethnicity,Other,Scotland,Other senior academic,2019/20,5
Ethnicity,Other,Scotland,Other contract level,2019/20,575
Ethnicity,Other,Scotland,Total,2019/20,605
Ethnicity,Other,Wales,Professor,2019/20,40
Ethnicity,Other,Wales,Other senior academic,2019/20,5
Ethnicity,Other,Wales,Other contract level,2019/20,210
Ethnicity,Other,Wales,Total,2019/20,250
Ethnicity,Other,England,Professor,2020/21,285
Ethnicity,Other,England,Other senior academic,2020/21,75
Ethnicity,Other,England,Other contract level,2020/21,4000
Ethnicity,Other,England,Total,2020/21,4360
Ethnicity,Other,Northern Ireland,Professor,2020/21,5
Ethnicity,Other,Northern Ireland,Other senior academic,2020/21,0
Ethnicity,Other,Northern Ireland,Other contract level,2020/21,35
Ethnicity,Other,Northern Ireland,Total,2020/21,40
Ethnicity,Other,Scotland,Professor,2020/21,30
Ethnicity,Other,Scotland,Other senior academic,2020/21,5
Ethnicity,Other,Scotland,Other contract level,2020/21,630
Ethnicity,Other,Scotland,Total,2020/21,665
Ethnicity,Other,Wales,Professor,2020/21,35
Ethnicity,Other,Wales,Other senior academic,2020/21,5
Ethnicity,Other,Wales,Other contract level,2020/21,210
Ethnicity,Other,Wales,Total,2020/21,245
Ethnicity,Other,All,Professor,2016/17,305
Ethnicity,Other,All,Other senior academic,2016/17,60
Ethnicity,Other,All,Other contract level,2016/17,3490
Ethnicity,Other,All,Total,2016/17,3855
Ethnicity,Other,All,Professor,2017/18,310
Ethnicity,Other,All,Other senior academic,2017/18,75
Ethnicity,Other,All,Other contract level,2017/18,3780
Ethnicity,Other,All,Total,2017/18,4165
Ethnicity,Other,All,Professor,2018/19,315
Ethnicity,Other,All,Other senior academic,2018/19,75
Ethnicity,Other,All,Other contract level,2018/19,4125
Ethnicity,Other,All,Total,2018/19,4515
Ethnicity,Other,All,Professor,2019/20,340
Ethnicity,Other,All,Other senior academic,2019/20,75
Ethnicity,Other,All,Other contract level,2019/20,4530
Ethnicity,Other,All,Total,2019/20,4950
Ethnicity,Other,All,Professor,2020/21,350
Ethnicity,Other,All,Other senior academic,2020/21,85
Ethnicity,Other,All,Other contract level,2020/21,4870
Ethnicity,Other,All,Total,2020/21,5310
Ethnicity,Not known,England,Professor,2016/17,1285
Ethnicity,Not known,England,Other senior academic,2016/17,210
Ethnicity,Not known,England,Other contract level,2016/17,12365
Ethnicity,Not known,England,Total,2016/17,13860
Ethnicity,Not known,Northern Ireland,Professor,2016/17,5
Ethnicity,Not known,Northern Ireland,Other senior academic,2016/17,5
Ethnicity,Not known,Northern Ireland,Other contract level,2016/17,70
Ethnicity,Not known,Northern Ireland,Total,2016/17,80
Ethnicity,Not known,Scotland,Professor,2016/17,230
Ethnicity,Not known,Scotland,Other senior academic,2016/17,30
Ethnicity,Not known,Scotland,Other contract level,2016/17,2285
Ethnicity,Not known,Scotland,Total,2016/17,2550
Ethnicity,Not known,Wales,Professor,2016/17,45
Ethnicity,Not known,Wales,Other senior academic,2016/17,5
Ethnicity,Not known,Wales,Other contract level,2016/17,490
Ethnicity,Not known,Wales,Total,2016/17,540
Ethnicity,Not known,England,Professor,2017/18,1325
Ethnicity,Not known,England,Other senior academic,2017/18,225
Ethnicity,Not known,England,Other contract level,2017/18,11645
Ethnicity,Not known,England,Total,2017/18,13190
Ethnicity,Not known,Northern Ireland,Professor,2017/18,10
Ethnicity,Not known,Northern Ireland,Other senior academic,2017/18,0
Ethnicity,Not known,Northern Ireland,Other contract level,2017/18,80
Ethnicity,Not known,Northern Ireland,Total,2017/18,90
Ethnicity,Not known,Scotland,Professor,2017/18,250
Ethnicity,Not known,Scotland,Other senior academic,2017/18,30
Ethnicity,Not known,Scotland,Other contract level,2017/18,2780
Ethnicity,Not known,Scotland,Total,2017/18,3060
Ethnicity,Not known,Wales,Professor,2017/18,45
Ethnicity,Not known,Wales,Other senior academic,2017/18,5
Ethnicity,Not known,Wales,Other contract level,2017/18,500
Ethnicity,Not known,Wales,Total,2017/18,550
Ethnicity,Not known,England,Professor,2018/19,1340
Ethnicity,Not known,England,Other senior academic,2018/19,220
Ethnicity,Not known,England,Other contract level,2018/19,11970
Ethnicity,Not known,England,Total,2018/19,13535
Ethnicity,Not known,Northern Ireland,Professor,2018/19,15
Ethnicity,Not known,Northern Ireland,Other senior academic,2018/19,0
Ethnicity,Not known,Northern Ireland,Other contract level,2018/19,105
Ethnicity,Not known,Northern Ireland,Total,2018/19,125
Ethnicity,Not known,Scotland,Professor,2018/19,270
Ethnicity,Not known,Scotland,Other senior academic,2018/19,35
Ethnicity,Not known,Scotland,Other contract level,2018/19,3235
Ethnicity,Not known,Scotland,Total,2018/19,3540
Ethnicity,Not known,Wales,Professor,2018/19,50
Ethnicity,Not known,Wales,Other senior academic,2018/19,5
Ethnicity,Not known,Wales,Other contract level,2018/19,565
Ethnicity,Not known,Wales,Total,2018/19,620
Ethnicity,Not known,England,Professor,2019/20,1385
Ethnicity,Not known,England,Other senior academic,2019/20,240
Ethnicity,Not known,England,Other contract level,2019/20,13270
Ethnicity,Not known,England,Total,2019/20,14895
Ethnicity,Not known,Northern Ireland,Professor,2019/20,15
Ethnicity,Not known,Northern Ireland,Other senior academic,2019/20,0
Ethnicity,Not known,Northern Ireland,Other contract level,2019/20,150
Ethnicity,Not known,Northern Ireland,Total,2019/20,165
Ethnicity,Not known,Scotland,Professor,2019/20,300
Ethnicity,Not known,Scotland,Other senior academic,2019/20,30
Ethnicity,Not known,Scotland,Other contract level,2019/20,3320
Ethnicity,Not known,Scotland,Total,2019/20,3650
Ethnicity,Not known,Wales,Professor,2019/20,55
Ethnicity,Not known,Wales,Other senior academic,2019/20,5
Ethnicity,Not known,Wales,Other contract level,2019/20,580
Ethnicity,Not known,Wales,Total,2019/20,640
Ethnicity,Not known,England,Professor,2020/21,1390
Ethnicity,Not known,England,Other senior academic,2020/21,220
Ethnicity,Not known,England,Other contract level,2020/21,13205
Ethnicity,Not known,England,Total,2020/21,14815
Ethnicity,Not known,Northern Ireland,Professor,2020/21,5
Ethnicity,Not known,Northern Ireland,Other senior academic,2020/21,0
Ethnicity,Not known,Northern Ireland,Other contract level,2020/21,145
Ethnicity,Not known,Northern Ireland,Total,2020/21,150
Ethnicity,Not known,Scotland,Professor,2020/21,280
Ethnicity,Not known,Scotland,Other senior academic,2020/21,30
Ethnicity,Not known,Scotland,Other contract level,2020/21,3445
Ethnicity,Not known,Scotland,Total,2020/21,3755
Ethnicity,Not known,Wales,Professor,2020/21,45
Ethnicity,Not known,Wales,Other senior academic,2020/21,5
Ethnicity,Not known,Wales,Other contract level,2020/21,800
Ethnicity,Not known,Wales,Total,2020/21,850
Ethnicity,Not known,All,Professor,2016/17,1570
Ethnicity,Not known,All,Other senior academic,2016/17,255
Ethnicity,Not known,All,Other contract level,2016/17,15210
Ethnicity,Not known,All,Total,2016/17,17030
Ethnicity,Not known,All,Professor,2017/18,1630
Ethnicity,Not known,All,Other senior academic,2017/18,260
Ethnicity,Not known,All,Other contract level,2017/18,15000
Ethnicity,Not known,All,Total,2017/18,16895
Ethnicity,Not known,All,Professor,2018/19,1675
Ethnicity,Not known,All,Other senior academic,2018/19,270
Ethnicity,Not known,All,Other contract level,2018/19,15880
Ethnicity,Not known,All,Total,2018/19,17820
Ethnicity,Not known,All,Professor,2019/20,1755
Ethnicity,Not known,All,Other senior academic,2019/20,280
Ethnicity,Not known,All,Other contract level,2019/20,17315
Ethnicity,Not known,All,Total,2019/20,19350
Ethnicity,Not known,All,Professor,2020/21,1720
Ethnicity,Not known,All,Other senior academic,2020/21,260
Ethnicity,Not known,All,Other contract level,2020/21,17595
Ethnicity,Not known,All,Total,2020/21,19575
Nationality,UK,England,Professor,2016/17,12900
Nationality,UK,England,Other senior academic,2016/17,4395
Nationality,UK,England,Other contract level,2016/17,102545
Nationality,UK,England,Total,2016/17,119840
Nationality,UK,Northern Ireland,Professor,2016/17,175
Nationality,UK,Northern Ireland,Other senior academic,2016/17,120
Nationality,UK,Northern Ireland,Other contract level,2016/17,1425
Nationality,UK,Northern Ireland,Total,2016/17,1720
Nationality,UK,Scotland,Professor,2016/17,1800
Nationality,UK,Scotland,Other senior academic,2016/17,465
Nationality,UK,Scotland,Other contract level,2016/17,11320
Nationality,UK,Scotland,Total,2016/17,13580
Nationality,UK,Wales,Professor,2016/17,960
Nationality,UK,Wales,Other senior academic,2016/17,345
Nationality,UK,Wales,Other contract level,2016/17,6890
Nationality,UK,Wales,Total,2016/17,8195
Nationality,UK,England,Professor,2017/18,13075
Nationality,UK,England,Other senior academic,2017/18,4500
Nationality,UK,England,Other contract level,2017/18,103205
Nationality,UK,England,Total,2017/18,120780
Nationality,UK,Northern Ireland,Professor,2017/18,195
Nationality,UK,Northern Ireland,Other senior academic,2017/18,100
Nationality,UK,Northern Ireland,Other contract level,2017/18,1460
Nationality,UK,Northern Ireland,Total,2017/18,1760
Nationality,UK,Scotland,Professor,2017/18,1845
Nationality,UK,Scotland,Other senior academic,2017/18,480
Nationality,UK,Scotland,Other contract level,2017/18,12530
Nationality,UK,Scotland,Total,2017/18,14850
Nationality,UK,Wales,Professor,2017/18,955
Nationality,UK,Wales,Other senior academic,2017/18,300
Nationality,UK,Wales,Other contract level,2017/18,6920
Nationality,UK,Wales,Total,2017/18,8175
Nationality,UK,England,Professor,2018/19,13495
Nationality,UK,England,Other senior academic,2018/19,4470
Nationality,UK,England,Other contract level,2018/19,104965
Nationality,UK,England,Total,2018/19,122935
Nationality,UK,Northern Ireland,Professor,2018/19,195
Nationality,UK,Northern Ireland,Other senior academic,2018/19,125
Nationality,UK,Northern Ireland,Other contract level,2018/19,1475
Nationality,UK,Northern Ireland,Total,2018/19,1800
Nationality,UK,Scotland,Professor,2018/19,1875
Nationality,UK,Scotland,Other senior academic,2018/19,455
Nationality,UK,Scotland,Other contract level,2018/19,12800
Nationality,UK,Scotland,Total,2018/19,15130
Nationality,UK,Wales,Professor,2018/19,800
Nationality,UK,Wales,Other senior academic,2018/19,335
Nationality,UK,Wales,Other contract level,2018/19,6970
Nationality,UK,Wales,Total,2018/19,8105
Nationality,UK,England,Professor,2019/20,14075
Nationality,UK,England,Other senior academic,2019/20,4530
Nationality,UK,England,Other contract level,2019/20,108030
Nationality,UK,England,Total,2019/20,126635
Nationality,UK,Northern Ireland,Professor,2019/20,225
Nationality,UK,Northern Ireland,Other senior academic,2019/20,120
Nationality,UK,Northern Ireland,Other contract level,2019/20,1510
Nationality,UK,Northern Ireland,Total,2019/20,1855
Nationality,UK,Scotland,Professor,2019/20,1970
Nationality,UK,Scotland,Other senior academic,2019/20,435
Nationality,UK,Scotland,Other contract level,2019/20,12905
Nationality,UK,Scotland,Total,2019/20,15310
Nationality,UK,Wales,Professor,2019/20,850
Nationality,UK,Wales,Other senior academic,2019/20,265
Nationality,UK,Wales,Other contract level,2019/20,6835
Nationality,UK,Wales,Total,2019/20,7950
Nationality,UK,England,Professor,2020/21,13990
Nationality,UK,England,Other senior academic,2020/21,4565
Nationality,UK,England,Other contract level,2020/21,107740
Nationality,UK,England,Total,2020/21,126295
Nationality,UK,Northern Ireland,Professor,2020/21,220
Nationality,UK,Northern Ireland,Other senior academic,2020/21,135
Nationality,UK,Northern Ireland,Other contract level,2020/21,1490
Nationality,UK,Northern Ireland,Total,2020/21,1845
Nationality,UK,Scotland,Professor,2020/21,1980
Nationality,UK,Scotland,Other senior academic,2020/21,465
Nationality,UK,Scotland,Other contract level,2020/21,13025
Nationality,UK,Scotland,Total,2020/21,15470
Nationality,UK,Wales,Professor,2020/21,850
Nationality,UK,Wales,Other senior academic,2020/21,240
Nationality,UK,Wales,Other contract level,2020/21,6700
Nationality,UK,Wales,Total,2020/21,7785
Nationality,UK,All,Professor,2016/17,15830
Nationality,UK,All,Other senior academic,2016/17,5320
Nationality,UK,All,Other contract level,2016/17,122180
Nationality,UK,All,Total,2016/17,143335
Nationality,UK,All,Professor,2017/18,16070
Nationality,UK,All,Other senior academic,2017/18,5375
Nationality,UK,All,Other contract level,2017/18,124115
Nationality,UK,All,Total,2017/18,145560
Nationality,UK,All,Professor,2018/19,16370
Nationality,UK,All,Other senior academic,2018/19,5385
Nationality,UK,All,Other contract level,2018/19,126215
Nationality,UK,All,Total,2018/19,147970
Nationality,UK,All,Professor,2019/20,17120
Nationality,UK,All,Other senior academic,2019/20,5350
Nationality,UK,All,Other contract level,2019/20,129275
Nationality,UK,All,Total,2019/20,151745
Nationality,UK,All,Professor,2020/21,17035
Nationality,UK,All,Other senior academic,2020/21,5405
Nationality,UK,All,Other contract level,2020/21,128955
Nationality,UK,All,Total,2020/21,151395
Nationality,European Union,England,Professor,2016/17,2345
Nationality,European Union,England,Other senior academic,2016/17,370
Nationality,European Union,England,Other contract level,2016/17,27200
Nationality,European Union,England,Total,2016/17,29915
Nationality,European Union,Northern Ireland,Professor,2016/17,85
Nationality,European Union,Northern Ireland,Other senior academic,2016/17,40
Nationality,European Union,Northern Ireland,Other contract level,2016/17,860
Nationality,European Union,Northern Ireland,Total,2016/17,985
Nationality,European Union,Scotland,Professor,2016/17,295
Nationality,European Union,Scotland,Other senior academic,2016/17,45
Nationality,European Union,Scotland,Other contract level,2016/17,3540
Nationality,European Union,Scotland,Total,2016/17,3880
Nationality,European Union,Wales,Professor,2016/17,105
Nationality,European Union,Wales,Other senior academic,2016/17,15
Nationality,European Union,Wales,Other contract level,2016/17,1020
Nationality,European Union,Wales,Total,2016/17,1140
Nationality,European Union,England,Professor,2017/18,2460
Nationality,European Union,England,Other senior academic,2017/18,415
Nationality,European Union,England,Other contract level,2017/18,27630
Nationality,European Union,England,Total,2017/18,30505
Nationality,European Union,Northern Ireland,Professor,2017/18,95
Nationality,European Union,Northern Ireland,Other senior academic,2017/18,30
Nationality,European Union,Northern Ireland,Other contract level,2017/18,910
Nationality,European Union,Northern Ireland,Total,2017/18,1035
Nationality,European Union,Scotland,Professor,2017/18,305
Nationality,European Union,Scotland,Other senior academic,2017/18,45
Nationality,European Union,Scotland,Other contract level,2017/18,4220
Nationality,European Union,Scotland,Total,2017/18,4570
Nationality,European Union,Wales,Professor,2017/18,110
Nationality,European Union,Wales,Other senior academic,2017/18,10
Nationality,European Union,Wales,Other contract level,2017/18,1025
Nationality,European Union,Wales,Total,2017/18,1145
Nationality,European Union,England,Professor,2018/19,2610
Nationality,European Union,England,Other senior academic,2018/19,395
Nationality,European Union,England,Other contract level,2018/19,28035
Nationality,European Union,England,Total,2018/19,31045
Nationality,European Union,Northern Ireland,Professor,2018/19,105
Nationality,European Union,Northern Ireland,Other senior academic,2018/19,45
Nationality,European Union,Northern Ireland,Other contract level,2018/19,965
Nationality,European Union,Northern Ireland,Total,2018/19,1110
Nationality,European Union,Scotland,Professor,2018/19,330
Nationality,European Union,Scotland,Other senior academic,2018/19,45
Nationality,European Union,Scotland,Other contract level,2018/19,4420
Nationality,European Union,Scotland,Total,2018/19,4800
Nationality,European Union,Wales,Professor,2018/19,95
Nationality,European Union,Wales,Other senior academic,2018/19,15
Nationality,European Union,Wales,Other contract level,2018/19,1020
Nationality,European Union,Wales,Total,2018/19,1130
Nationality,European Union,England,Professor,2019/20,2895
Nationality,European Union,England,Other senior academic,2019/20,385
Nationality,European Union,England,Other contract level,2019/20,27925
Nationality,European Union,England,Total,2019/20,31205
Nationality,European Union,Northern Ireland,Professor,2019/20,115
Nationality,European Union,Northern Ireland,Other senior academic,2019/20,35
